generator,label_b,n_real,n_ai,accuracy,precision,recall,f1
SD 2.1,1,7500,7500,0.6249,0.6249,0.6249,0.6249
SDXL,2,7500,7500,0.6558,0.6563,0.6558,0.6555
SD 3,3,7500,7500,0.6516,0.6520,0.6516,0.6514
DALL-E 3,4,7500,7500,0.6785,0.6804,0.6785,0.6776
MidJourney v6,5,7500,7500,0.5372,0.5384,0.5372,0.5335
