epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.06992829486131669,0.9156625,0.03995511616871814,0.9795934509214586,0.9795750966075475
2,0.042465955835580826,0.97315,0.03783183384950113,0.9807798781934668,0.9807704466019147
3,0.03458980417847633,0.9864875,0.03621657903898846,0.9838645891006881,0.9838419733855768
4,0.03231576741635799,0.9901625,0.03306219058882708,0.9881357272799177,0.9881228065912302
5,0.030619478684663772,0.9928875,0.032403103386362396,0.9898758206121965,0.9898671891893978
6,0.03018609605431557,0.9934875,0.03359045616981357,0.9885312030372538,0.9885199405520617
7,0.029512084832787513,0.9941125,0.03610793346858988,0.9837063987977537,0.9836972807439504
8,0.02925884668827057,0.9946375,0.03167566021132951,0.9909831527327375,0.9909750426870558
9,0.02865087634921074,0.9955125,0.032434058290990914,0.9905876769754014,0.9905785271887639
10,0.028648718801140786,0.9953125,0.03434215709943362,0.9871865854623112,0.9871712588334509
11,0.028426689225435255,0.99575,0.03467964682013097,0.9866329194020407,0.9866240261554378
12,0.028151999083161353,0.995725,0.034399156430453964,0.9864747290991063,0.9864687394517478
13,0.02663689964413643,0.998325,0.030304440062003907,0.9928023412164835,0.9927963701228415
14,0.026043349808454512,0.999025,0.030265474974206,0.9932769121252867,0.993271023798274
15,0.025820610865950583,0.9993,0.03472624397413297,0.9878193466740489,0.9878029892424458
16,0.0263621597468853,0.9984125,0.031438645897339086,0.9918531993988768,0.9918455984742505
17,0.026056646865606308,0.9989125,0.03171808769305547,0.9910622478842047,0.9910538222869414
18,0.02598783631324768,0.998925,0.03297660697364446,0.9894803448548604,0.989474418490727
19,0.02564931226968765,0.9994,0.0310362930212057,0.9924859606106146,0.9924790225760696
