epoch,train_loss,train_acc,val_loss,val_acc
1,0.05056620574586958,0.97958,0.015027500996798067,0.9942
2,0.0055366968460924555,0.99813,0.006593177139742472,0.9978
3,0.003532448330046547,0.99886,0.004164920053490335,0.9984
4,0.0042325062528506,0.99851,0.0054516911647282725,0.99785
5,0.002308407827108265,0.99925,0.0075754997672912525,0.9976
